Order,Week,Type,Date,Enclosure#,Vacetone,fir750nm,664nm,sec750nm,665nm,Comment
C126,9,Tiles,9/25/2017,E3,10,0.001,0.074,0.006,0.049,
C127,9,Tiles,9/25/2017,D1,10,0.015,0.133,0.019,0.091,
C128,9,Tiles,9/25/2017,A4,10,0.005,0.058,0.009,0.044,
C129,9,Tiles,9/25/2017,A3,10,0.002,0.05,0.005,0.033,
C130,9,Tiles,9/25/2017,C3,10,0.002,0.079,0.006,0.054,
C131,9,Tiles,9/25/2017,B5,10,0.004,0.17,0.013,0.122,
C132,9,Tiles,9/25/2017,A5,10,0.003,0.055,0.007,0.042,
C133,9,Tiles,9/25/2017,A1,10,0.003,0.035,0.006,0.027,
C134,9,Tiles,9/25/2017,A2,10,0.002,0.019,0.004,0.015,
C135,9,Tiles,9/25/2017,C5,10,0.002,0.076,0.006,0.051,
C136,9,Tiles,9/25/2017,C4,10,0.004,0.091,0.008,0.065,
C137,9,Tiles,9/25/2017,B7,10,0.017,0.074,0.077,0.13,
FC019,9,Filter,9/25/2017,E6,10,0.003,0.09,0.007,0.067,
FC018,9,Filter,9/25/2017,#N/A,10,0.003,0.05,0.005,0.036,
FC020,9,Filter,9/25/2017,E6,10,0.002,0.067,0.004,0.051,
FC017,9,Filter,9/25/2017,#N/A,10,0.002,0.048,0.005,0.035,
FC009,9,Filter,9/25/2017,C2,10,0.008,0.057,0.01,0.041,
FC003,9,Filter,9/25/2017,B6,10,0.002,0.052,0.005,0.035,
FC004,9,Filter,9/25/2017,B6,10,0.014,0.057,0.013,0.041,
FC005,9,Filter,9/25/2017,B9,10,0.003,0.109,0.008,0.078,
FC014,9,Filter,9/25/2017,E9,10,0.01,0.063,0.01,0.043,
FC015,9,Filter,9/25/2017,E8,10,0.005,0.083,0.007,0.056,
FC013,9,Filter,9/25/2017,E9,10,0.01,0.046,0.011,0.033,
FC016,9,Filter,9/25/2017,E8,10,0.031,0.093,0.04,0.083,
FC010,9,Filter,9/25/2017,#N/A,10,0.005,0.016,0.005,0.011,
FC011,9,Filter,9/25/2017,D8,10,0.004,0.052,0.006,0.038,
FC012,9,Filter,9/25/2017,D8,10,0.004,0.064,0.007,0.048,
FC006,9,Filter,9/25/2017,C1,10,0.003,0.058,0.005,0.049,
FC001,9,Filter,9/25/2017,B4,10,0.004,0.09,0.007,0.059,
FC002,9,Filter,9/25/2017,B4,10,0.003,0.074,0.005,0.049,
FC008,9,Filter,9/25/2017,C2,10,0.029,0.077,0.031,0.065,
FC007,9,Filter,9/25/2017,C1,10,0.003,0.094,0.007,0.067,
D01,12,Tiles,10/10/2017,D4,10,0.001,0.034,0.003,0.028,
D02,12,Tiles,10/10/2017,C8,10,0.002,0.028,0.004,0.024,
D03,12,Tiles,10/10/2017,D3,10,0.002,0.19,0.006,0.128,
D04,12,Tiles,10/10/2017,D5,10,0.01,0.143,0.07,0.172,
D05,12,Tiles,10/10/2017,B6,10,0.01,0.099,0.005,0.071,
D06,12,Tiles,10/10/2017,D10,10,0.003,0.055,0.005,0.041,
D07,12,Tiles,10/10/2017,E1,10,0.004,0.203,0.008,0.143,
D08,12,Tiles,10/10/2017,D8,10,0.002,0.044,0.005,0.036,
D09,12,Tiles,10/10/2017,E2,10,0.001,0.095,0.007,0.072,
D10,12,Tiles,10/10/2017,D7,10,0.002,0.072,0.008,0.058,
D11,12,Tiles,10/10/2017,C2,10,0.003,0.037,0.007,0.029,
D12,12,Tiles,10/10/2017,B1,10,0.003,0.054,0.006,0.04,
D13,12,Tiles,10/10/2017,E7,10,0.006,0.053,0.086,0.136,
D14,12,Tiles,10/10/2017,D2,10,0.006,0.222,0.008,0.156,
D15,12,Tiles,10/10/2017,C4,10,0.009,0.066,0.013,0.058,
D16,12,Tiles,10/10/2017,E6,10,0.007,0.101,0.015,0.079,
D17,12,Tiles,10/10/2017,B5,10,0.003,0.121,0.008,0.089,
D18,12,Tiles,10/10/2017,B4,10,0.004,0.068,0.006,0.053,
D19,12,Tiles,10/10/2017,C3,10,0.003,0.065,0.007,0.054,
D20,12,Tiles,10/10/2017,D1,10,0.006,0.105,0.01,0.077,
D21,12,Tiles,10/10/2017,E5,10,0.003,0.076,0.006,0.056,
D22,12,Tiles,10/10/2017,E9,10,0.005,0.068,0.008,0.056,
D23,12,Tiles,10/10/2017,E8,10,0.005,0.043,0.006,0.038,
D24,12,Tiles,10/10/2017,B2,10,0.001,0.045,0.002,0.034,
D25,12,Tiles,10/10/2017,A6,10,0.001,0.077,0.005,0.056,
D26,12,Tiles,10/10/2017,A4,10,0.003,0.09,0.006,0.067,
D27,12,Tiles,10/10/2017,A7,10,0.003,0.056,0.018,0.055,
D28,12,Tiles,10/10/2017,A2,10,0.002,0.049,0.006,0.04,
D29,12,Tiles,10/10/2017,C9,10,0.005,0.078,0.01,0.071,
D30,12,Tiles,10/10/2017,E10,10,0.004,0.042,0.109,0.16,
D31,12,Tiles,10/10/2017,D6,10,0.001,0.043,0.004,0.033,
D32,12,Tiles,10/10/2017,B9,10,0.002,0.062,0.005,0.048,
D33,12,Tiles,10/10/2017,A9,10,0.001,0.031,0.003,0.025,
D34,12,Tiles,10/11/2017,B7,10,0.002,0.057,0.004,0.04,
D35,12,Tiles,10/11/2017,C6,10,0.002,0.015,0.002,0.01,
D36,12,Tiles,10/11/2017,A1,10,0.002,0.038,0.004,0.031,
D37,12,Tiles,10/11/2017,B8,10,0.001,0.058,0.004,0.041,
D38,12,Tiles,10/11/2017,B3,10,0.004,0.0157,0.022,0.127,
D39,12,Tiles,10/11/2017,B10,10,0.003,0.146,0.008,0.107,
D40,12,Tiles,10/11/2017,A10,10,0.003,0.147,0.007,0.099,
D41,12,Tiles,10/11/2017,A5,10,0.002,0.057,0.004,0.043,
D42,12,Tiles,10/11/2017,C7,10,0.004,0.11,0.007,0.082,
D43,12,Tiles,10/11/2017,D9,10,0.004,0.159,0.008,0.115,
D44,12,Tiles,10/11/2017,C5,10,0.201,0.307,0.518,0.617,
D45,12,Tiles,10/11/2017,E4,10,0.003,0.035,0.005,0.025,
D46,12,Tiles,10/11/2017,C1,10,0.002,0.076,0.006,0.06,
D47,12,Tiles,10/11/2017,A8,10,0.002,0.059,0.004,0.045,
D48,12,Tiles,10/11/2017,A3,10,0.003,0.184,0.011,0.145,
D49,12,Tiles,10/11/2017,E3,10,0.001,0.122,0.006,0.083,
D50,12,Tiles,10/11/2017,C10,10,0.002,0.051,0.004,0.039,
FC048,12,Filter,11-Oct-17,WC,10,0.001,0.017,0.002,0.012,
FC045,12,Filter,12-Oct-17,WC,10,0.003,0.019,0.004,0.015,
D57,12,shellsampling,11-Oct-17,FC021,10,0.002,0.174,0.005,0.101,
D53,12,shellsampling,11-Oct-17,FC022,10,0.038,0.09,0.047,0.086,
D72,12,shellsampling,12-Oct-17,FC023,10,0.002,0.134,0.005,0.081,
D85,12,shellsampling,12-Oct-17,FC024,10,0.019,0.149,0.023,0.105,
D79,12,shellsampling,12-Oct-17,FC025,10,0.003,0.05,0.005,0.032,
D54,12,shellsampling,11-Oct-17,FC026,10,0.003,0.096,0.008,0.066,
D71,12,shellsampling,12-Oct-17,FC027,10,0.001,0.012,0.002,0.008,
D83,12,shellsampling,12-Oct-17,FC028,10,0.004,0.266,0.008,0.164,
D76,12,Filter,12-Oct-17,FC029,10,0.004,0.048,0.006,0.037,
D75,12,Filter,12-Oct-17,FC030,10,0.003,0.058,0.005,0.041,
D73,12,shellsampling,12-Oct-17,FC031,10,0.003,0.18,0.006,0.111,
D70,12,shellsampling,12-Oct-17,FC032,10,0.023,0.056,0.024,0.044,
D67,12,shellsampling,12-Oct-17,FC033,10,0.002,0.056,0.003,0.034,
D81,12,shellsampling,12-Oct-17,FC034,10,0.007,0.113,0.01,0.072,
D69,12,shellsampling,12-Oct-17,FC036,10,0.004,0.057,0.005,0.037,
D65,12,shellsampling,12-Oct-17,FC037,10,0.002,0.027,0.003,0.018,
D60,12,shellsampling,11-Oct-17,FC038,10,0.0011,0.012,0.002,0.009,
D77,12,shellsampling,12-Oct-17,FC039,10,0.008,0.089,0.01,0.059,
D84,12,shellsampling,12-Oct-17,FC041,10,0.006,0.057,0.007,0.038,
D86,12,shellsampling,12-Oct-17,FC042,10,0.003,0.03,0.004,0.019,
D55,12,shellsampling,11-Oct-17,FC043,10,0.001,0.015,0.002,0.011,
D63,12,shellsampling,12-Oct-17,FC046,10,0.003,0.042,0.004,0.028,
D74,12,shellsampling,12-Oct-17,FC047,10,0.004,0.045,0.004,0.029,
D66,12,shellsampling,12-Oct-17,FC049,10,0.001,0.013,0.001,0.009,
D61,12,shellsampling,12-Oct-17,FC050,10,0.001,0.054,0.003,0.035,
D78,12,shellsampling,12-Oct-17,FC052,10,0.005,0.018,0.005,0.014,
D56,12,shellsampling,11-Oct-17,FC053,10,0.001,0.042,0.002,0.025,
D58,12,shellsampling,11-Oct-17,FC054,10,0,0.062,0.002,0.038,
D52,12,shellsampling,11-Oct-17,FC055,10,0.001,0.019,0.002,0.014,
D68,12,shellsampling,12-Oct-17,FC056,10,0.001,0.012,0.001,0.008,
D64,12,shellsampling,12-Oct-17,FC057,10,0.005,0.045,0.006,0.029,
D62,12,shellsampling,12-Oct-17,FC058,10,0.026,0.086,0.039,0.073,
D82,12,shellsampling,12-Oct-17,FC059,10,0.005,0.031,0.007,0.023,
D51,12,shellsampling,11-Oct-17,FC060,10,0.011,0.049,0.013,0.038,
